Recording,Recording1,Recording1,Recording1
Maximum_duration_of_whole_fixations.く,,,
Maximum_duration_of_whole_fixations.日,,,
Maximum_duration_of_whole_fixations.射,375,375,375
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.強,200,200,200
Maximum_duration_of_whole_fixations.け,150,150,150
Maximum_duration_of_whole_fixations.れ,,,
Maximum_duration_of_whole_fixations.ば,,,
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.昼,,,
Maximum_duration_of_whole_fixations.間,600,600,600
Maximum_duration_of_whole_fixations.は,,,
Maximum_duration_of_whole_fixations.海,275,275,275
Maximum_duration_of_whole_fixations.風,1225,1225,1225
Maximum_duration_of_whole_fixations.、,858,858,858
Maximum_duration_of_whole_fixations.夜,175,175,175
Maximum_duration_of_whole_fixations.間,,,
Maximum_duration_of_whole_fixations.は,,,
Maximum_duration_of_whole_fixations.陸,1083,1083,1083
Maximum_duration_of_whole_fixations.風,,,
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.い,167,167,167
Maximum_duration_of_whole_fixations.う,,,
Maximum_duration_of_whole_fixations.海,,,
Maximum_duration_of_whole_fixations.陸,100,100,100
Maximum_duration_of_whole_fixations.風,358,358,358
Maximum_duration_of_whole_fixations.が,183,183,183
Maximum_duration_of_whole_fixations.は,183,183,183
Maximum_duration_of_whole_fixations.っ,,,
Maximum_duration_of_whole_fixations.き,,,
Maximum_duration_of_whole_fixations.り,192,192,192
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.現,,,
Maximum_duration_of_whole_fixations.れ,325,325,325
Maximum_duration_of_whole_fixations.る,,,
Maximum_duration_of_whole_fixations.地,,,
Maximum_duration_of_whole_fixations.域,292,292,292
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.多,208,208,208
Maximum_duration_of_whole_fixations.い,267,267,267
Maximum_duration_of_whole_fixations.。,150,150,150
Maximum_duration_of_whole_fixations.8,,,
Maximum_duration_of_whole_fixations.月,,,
Maximum_duration_of_whole_fixations.7,,,
Maximum_duration_of_whole_fixations.日,,,
Maximum_duration_of_whole_fixations.前,,,
Maximum_duration_of_whole_fixations.後,,,
Maximum_duration_of_whole_fixations.の,,,
Maximum_duration_of_whole_fixations.立,450,450,450
Maximum_duration_of_whole_fixations.秋,,,
Maximum_duration_of_whole_fixations.の,842,842,842
Maximum_duration_of_whole_fixations.頃,1700,1700,1700
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.最,175,175,175
Maximum_duration_of_whole_fixations.も,,,
Maximum_duration_of_whole_fixations.暑,258,258,258
Maximum_duration_of_whole_fixations.く,,,
Maximum_duration_of_whole_fixations.な,,,
Maximum_duration_of_whole_fixations.る,692,692,692
Maximum_duration_of_whole_fixations.。,,,
Maximum_duration_of_whole_fixations.一,,,
Maximum_duration_of_whole_fixations.方,158,158,158
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.日,,,
Maximum_duration_of_whole_fixations.本,217,217,217
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.暑,,,
Maximum_duration_of_whole_fixations.い,,,
Maximum_duration_of_whole_fixations.夏,225,225,225
Maximum_duration_of_whole_fixations.を,,,
Maximum_duration_of_whole_fixations.も,,,
Maximum_duration_of_whole_fixations.た,,,
Maximum_duration_of_whole_fixations.ら,175,175,175
Maximum_duration_of_whole_fixations.す,,,
Maximum_duration_of_whole_fixations.気,,,
Maximum_duration_of_whole_fixations.圧,,,
Maximum_duration_of_whole_fixations.配,525,525,525
Maximum_duration_of_whole_fixations.置,,,
Maximum_duration_of_whole_fixations.は,,,
Maximum_duration_of_whole_fixations.年,,,
Maximum_duration_of_whole_fixations.に,642,642,642
Maximum_duration_of_whole_fixations.よ,,,
Maximum_duration_of_whole_fixations.っ,133,133,133
Maximum_duration_of_whole_fixations.て,,,
Maximum_duration_of_whole_fixations.は,200,200,200
Maximum_duration_of_whole_fixations.崩,408,408,408
Maximum_duration_of_whole_fixations.れ,,,
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.太,,,
Maximum_duration_of_whole_fixations.平,,,
Maximum_duration_of_whole_fixations.洋,,,
Maximum_duration_of_whole_fixations.高,,,
Maximum_duration_of_whole_fixations.気,175,175,175
Maximum_duration_of_whole_fixations.圧,,,
Maximum_duration_of_whole_fixations.の,,,
Maximum_duration_of_whole_fixations.勢,,,
Maximum_duration_of_whole_fixations.力,,,
Maximum_duration_of_whole_fixations.が,908,908,908
Maximum_duration_of_whole_fixations.弱,,,
Maximum_duration_of_whole_fixations.い,317,317,317
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.オ,,,
Maximum_duration_of_whole_fixations.ホ,,,
Maximum_duration_of_whole_fixations.ー,,,
Maximum_duration_of_whole_fixations.ツ,,,
Maximum_duration_of_whole_fixations.ク,,,
Maximum_duration_of_whole_fixations.海,575,575,575
Maximum_duration_of_whole_fixations.高,,,
Maximum_duration_of_whole_fixations.気,,,
Maximum_duration_of_whole_fixations.圧,,,
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.北,242,242,242
Maximum_duration_of_whole_fixations.か,208,208,208
Maximum_duration_of_whole_fixations.ら,,,
Maximum_duration_of_whole_fixations.張,200,200,200
Maximum_duration_of_whole_fixations.り,142,142,142
Maximum_duration_of_whole_fixations.出,183,183,183
Maximum_duration_of_whole_fixations.し,,,
Maximum_duration_of_whole_fixations.て,,,
Maximum_duration_of_whole_fixations.長,,,
Maximum_duration_of_whole_fixations.く,308,308,308
Maximum_duration_of_whole_fixations.と,500,500,500
Maximum_duration_of_whole_fixations.ど,,,
Maximum_duration_of_whole_fixations.ま,,,
Maximum_duration_of_whole_fixations.り,,,
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.北,200,200,200
Maximum_duration_of_whole_fixations.海,,,
Maximum_duration_of_whole_fixations.道,,,
Maximum_duration_of_whole_fixations.や,242,242,242
Maximum_duration_of_whole_fixations.東,,,
Maximum_duration_of_whole_fixations.北,,,
Maximum_duration_of_whole_fixations.地,200,200,200
Maximum_duration_of_whole_fixations.方,,,
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.や,,,
Maximum_duration_of_whole_fixations.ま,,,
Maximum_duration_of_whole_fixations.せ,,,
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.呼,,,
Maximum_duration_of_whole_fixations.ば,217,217,217
Maximum_duration_of_whole_fixations.れ,,,
Maximum_duration_of_whole_fixations.る,167,167,167
Maximum_duration_of_whole_fixations.冷,,,
Maximum_duration_of_whole_fixations.た,,,
Maximum_duration_of_whole_fixations.い,250,250,250
Maximum_duration_of_whole_fixations.北,,,
Maximum_duration_of_whole_fixations.東,175,175,175
Maximum_duration_of_whole_fixations.の,,,
Maximum_duration_of_whole_fixations.風,233,233,233
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.吹,233,233,233
Maximum_duration_of_whole_fixations.き,342,342,342
Maximum_duration_of_whole_fixations.込,,,
Maximum_duration_of_whole_fixations.む,108,108,108
Maximum_duration_of_whole_fixations.。,,,
Maximum_duration_of_whole_fixations.そ,,,
Maximum_duration_of_whole_fixations.の,,,
Maximum_duration_of_whole_fixations.よ,,,
Maximum_duration_of_whole_fixations.う,,,
Maximum_duration_of_whole_fixations.な,,,
Maximum_duration_of_whole_fixations.年,,,
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.は,242,242,242
Maximum_duration_of_whole_fixations.梅,217,217,217
Maximum_duration_of_whole_fixations.雨,,,
Maximum_duration_of_whole_fixations.前,,,
Maximum_duration_of_whole_fixations.線,,,
Maximum_duration_of_whole_fixations.の,158,158,158
Maximum_duration_of_whole_fixations.北,400,400,400
Maximum_duration_of_whole_fixations.上,267,267,267
Maximum_duration_of_whole_fixations.が,217,217,217
Maximum_duration_of_whole_fixations.進,458,458,458
Maximum_duration_of_whole_fixations.ま,,,
Maximum_duration_of_whole_fixations.ず,,,
Maximum_duration_of_whole_fixations.、,233,233,233
Maximum_duration_of_whole_fixations.低,350,350,350
Maximum_duration_of_whole_fixations.温,133,133,133
Maximum_duration_of_whole_fixations.や,408,408,408
Maximum_duration_of_whole_fixations.日,100,100,100
Maximum_duration_of_whole_fixations.照,183,183,183
Maximum_duration_of_whole_fixations.不,200,200,200
Maximum_duration_of_whole_fixations.足,,,
Maximum_duration_of_whole_fixations.に,175,175,175
Maximum_duration_of_whole_fixations.よ,,,
Maximum_duration_of_whole_fixations.り,,,
Maximum_duration_of_whole_fixations.冷,,,
Maximum_duration_of_whole_fixations.害,150,150,150
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.発,,,
Maximum_duration_of_whole_fixations.生,,,
Maximum_duration_of_whole_fixations.す,217,217,217
Maximum_duration_of_whole_fixations.る,,,
Maximum_duration_of_whole_fixations.。,,,
Maximum_duration_of_whole_fixations.ま,,,
Maximum_duration_of_whole_fixations.た,,,
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.主,,,
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.7,,,
Maximum_duration_of_whole_fixations.月,,,
Maximum_duration_of_whole_fixations.か,,,
Maximum_duration_of_whole_fixations.ら,,,
Maximum_duration_of_whole_fixations.9,,,
Maximum_duration_of_whole_fixations.月,,,
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.は,375,375,375
Maximum_duration_of_whole_fixations.、,,,
Maximum_duration_of_whole_fixations.台,,,
Maximum_duration_of_whole_fixations.風,175,175,175
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.日,,,
Maximum_duration_of_whole_fixations.本,233,233,233
Maximum_duration_of_whole_fixations.に,,,
Maximum_duration_of_whole_fixations.接,,,
Maximum_duration_of_whole_fixations.近,,,
Maximum_duration_of_whole_fixations.す,,,
Maximum_duration_of_whole_fixations.る,,,
Maximum_duration_of_whole_fixations.こ,,,
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.が,,,
Maximum_duration_of_whole_fixations.あ,,,
Maximum_duration_of_whole_fixations.る,,,
Maximum_duration_of_whole_fixations.。,,,
Maximum_duration_of_whole_fixations.詳,,,
Maximum_duration_of_whole_fixations.し,,,
Maximum_duration_of_whole_fixations.く,,,
Maximum_duration_of_whole_fixations.は,,,
Maximum_duration_of_whole_fixations.#,,,
Maximum_duration_of_whole_fixations.台,,,
Maximum_duration_of_whole_fixations.風,,,
Maximum_duration_of_whole_fixations.を,,,
Maximum_duration_of_whole_fixations.参,,,
Maximum_duration_of_whole_fixations.照,,,
Maximum_duration_of_whole_fixations.の,,,
Maximum_duration_of_whole_fixations.こ,,,
Maximum_duration_of_whole_fixations.と,,,
Maximum_duration_of_whole_fixations.。,,,
Number_of_whole_fixations.梅雨明けと共に日本の真夏は始まる。,6,6,6
Number_of_whole_fixations.大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,5,5,5
Number_of_whole_fixations.梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。,34,34,34
Number_of_whole_fixations.これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。,33,33,33
Number_of_whole_fixations.日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。,29,29,29
Number_of_whole_fixations.風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。,33,33,33
Number_of_whole_fixations.さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。,22,22,22
Number_of_whole_fixations.夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。,28,28,28
Number_of_whole_fixations.このような夏の典型的な気圧配置を南高北低型という。,16,16,16
Number_of_whole_fixations.高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。,45,45,45
Number_of_whole_fixations.風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。,28,28,28
Number_of_whole_fixations.8月7日前後の立秋の頃が最も暑くなる。,7,7,7
Number_of_whole_fixations.一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,37,37,37
Number_of_whole_fixations.そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。,19,19,19
Number_of_whole_fixations.また、主に7月から9月には、台風が日本に接近することがある。,3,3,3
Number_of_whole_fixations.詳しくは#台風を参照のこと。,0,0,0
Number_of_whole_fixations.梅,0,0,0
Number_of_whole_fixations.雨,0,0,0
Number_of_whole_fixations.明,0,0,0
Number_of_whole_fixations.け,2,2,2
Number_of_whole_fixations.と,0,0,0
Number_of_whole_fixations.共,0,0,0
Number_of_whole_fixations.に,1,1,1
Number_of_whole_fixations.日,0,0,0
Number_of_whole_fixations.本,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.真,1,1,1
Number_of_whole_fixations.夏,0,0,0
Number_of_whole_fixations.は,1,1,1
Number_of_whole_fixations.始,0,0,0
Number_of_whole_fixations.ま,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,1,1,1
Number_of_whole_fixations.大,0,0,0
Number_of_whole_fixations.暑,0,0,0
Number_of_whole_fixations.（,0,0,0
Number_of_whole_fixations.7,0,0,0
Number_of_whole_fixations.月,0,0,0
Number_of_whole_fixations.2,0,0,0
Number_of_whole_fixations.3,0,0,0
Number_of_whole_fixations.日,0,0,0
Number_of_whole_fixations.頃,0,0,0
Number_of_whole_fixations.）,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.頃,0,0,0
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.は,0,0,0
Number_of_whole_fixations.日,0,0,0
Number_of_whole_fixations.本,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.大,2,2,2
Number_of_whole_fixations.部,1,1,1
Number_of_whole_fixations.分,0,0,0
Number_of_whole_fixations.は,0,0,0
Number_of_whole_fixations.梅,0,0,0
Number_of_whole_fixations.雨,1,1,1
Number_of_whole_fixations.明,0,0,0
Number_of_whole_fixations.け,0,0,0
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.本,0,0,0
Number_of_whole_fixations.格,0,0,0
Number_of_whole_fixations.的,0,0,0
Number_of_whole_fixations.な,1,1,1
Number_of_whole_fixations.夏,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.暑,0,0,0
Number_of_whole_fixations.さ,0,0,0
Number_of_whole_fixations.を,0,0,0
Number_of_whole_fixations.迎,0,0,0
Number_of_whole_fixations.え,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.梅,0,0,0
Number_of_whole_fixations.雨,0,0,0
Number_of_whole_fixations.明,0,0,0
Number_of_whole_fixations.け,1,1,1
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.直,0,0,0
Number_of_whole_fixations.後,1,1,1
Number_of_whole_fixations.は,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.梅,0,0,0
Number_of_whole_fixations.雨,0,0,0
Number_of_whole_fixations.明,1,1,1
Number_of_whole_fixations.け,0,0,0
Number_of_whole_fixations.十,0,0,0
Number_of_whole_fixations.日,1,1,1
Number_of_whole_fixations.と,0,0,0
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.太,0,0,0
Number_of_whole_fixations.平,0,0,0
Number_of_whole_fixations.洋,1,1,1
Number_of_whole_fixations.高,0,0,0
Number_of_whole_fixations.気,0,0,0
Number_of_whole_fixations.圧,1,1,1
Number_of_whole_fixations.の,1,1,1
Number_of_whole_fixations.勢,0,0,0
Number_of_whole_fixations.力,0,0,0
Number_of_whole_fixations.が,2,2,2
Number_of_whole_fixations.強,0,0,0
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.気,1,1,1
Number_of_whole_fixations.圧,0,0,0
Number_of_whole_fixations.配,0,0,0
Number_of_whole_fixations.置,0,0,0
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.安,0,0,0
Number_of_whole_fixations.定,0,0,0
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.て,0,0,0
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.で,0,0,0
Number_of_whole_fixations.穏,1,1,1
Number_of_whole_fixations.や,1,1,1
Number_of_whole_fixations.か,0,0,0
Number_of_whole_fixations.な,2,2,2
Number_of_whole_fixations.晴,1,1,1
Number_of_whole_fixations.天,0,0,0
Number_of_whole_fixations.が,1,1,1
Number_of_whole_fixations.続,2,2,2
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.こ,1,1,1
Number_of_whole_fixations.と,0,0,0
Number_of_whole_fixations.が,2,2,2
Number_of_whole_fixations.多,0,0,0
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.、,1,1,1
Number_of_whole_fixations.夕,1,1,1
Number_of_whole_fixations.立,0,0,0
Number_of_whole_fixations.も,0,0,0
Number_of_whole_fixations.発,2,2,2
Number_of_whole_fixations.生,0,0,0
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.に,1,1,1
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.の,1,1,1
Number_of_whole_fixations.で,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.レ,0,0,0
Number_of_whole_fixations.ジ,0,0,0
Number_of_whole_fixations.ャ,0,0,0
Number_of_whole_fixations.ー,0,0,0
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.は,0,0,0
Number_of_whole_fixations.最,3,3,3
Number_of_whole_fixations.適,0,0,0
Number_of_whole_fixations.だ,0,0,0
Number_of_whole_fixations.と,0,0,0
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.う,0,0,0
Number_of_whole_fixations.意,0,0,0
Number_of_whole_fixations.見,0,0,0
Number_of_whole_fixations.も,1,1,1
Number_of_whole_fixations.あ,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.こ,1,1,1
Number_of_whole_fixations.れ,0,0,0
Number_of_whole_fixations.は,0,0,0
Number_of_whole_fixations.、,1,1,1
Number_of_whole_fixations.梅,0,0,0
Number_of_whole_fixations.雨,0,0,0
Number_of_whole_fixations.前,1,1,1
Number_of_whole_fixations.線,0,0,0
Number_of_whole_fixations.を,0,0,0
Number_of_whole_fixations.押,0,0,0
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.上,1,1,1
Number_of_whole_fixations.げ,0,0,0
Number_of_whole_fixations.た,0,0,0
Number_of_whole_fixations.小,0,0,0
Number_of_whole_fixations.笠,0,0,0
Number_of_whole_fixations.原,1,1,1
Number_of_whole_fixations.高,1,1,1
Number_of_whole_fixations.気,2,2,2
Number_of_whole_fixations.圧,0,0,0
Number_of_whole_fixations.の,1,1,1
Number_of_whole_fixations.強,2,2,2
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.状,3,3,3
Number_of_whole_fixations.態,1,1,1
Number_of_whole_fixations.が,2,2,2
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.小,1,1,1
Number_of_whole_fixations.笠,0,0,0
Number_of_whole_fixations.原,1,1,1
Number_of_whole_fixations.高,1,1,1
Number_of_whole_fixations.気,0,0,0
Number_of_whole_fixations.圧,1,1,1
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.活,0,0,0
Number_of_whole_fixations.動,2,2,2
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.強,1,1,1
Number_of_whole_fixations.弱,2,2,2
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.周,2,2,2
Number_of_whole_fixations.期,0,0,0
Number_of_whole_fixations.、,1,1,1
Number_of_whole_fixations.つ,0,0,0
Number_of_whole_fixations.ま,0,0,0
Number_of_whole_fixations.り,0,0,0
Number_of_whole_fixations.1,0,0,0
Number_of_whole_fixations.0,0,0,0
Number_of_whole_fixations.日,1,1,1
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.ら,0,0,0
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.続,0,0,0
Number_of_whole_fixations.く,1,1,1
Number_of_whole_fixations.た,0,0,0
Number_of_whole_fixations.め,0,0,0
Number_of_whole_fixations.で,1,1,1
Number_of_whole_fixations.あ,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.日,0,0,0
Number_of_whole_fixations.本,0,0,0
Number_of_whole_fixations.列,1,1,1
Number_of_whole_fixations.島,0,0,0
Number_of_whole_fixations.に,1,1,1
Number_of_whole_fixations.張,0,0,0
Number_of_whole_fixations.り,1,1,1
Number_of_whole_fixations.出,1,1,1
Number_of_whole_fixations.し,1,1,1
Number_of_whole_fixations.て,0,0,0
Number_of_whole_fixations.く,1,1,1
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.小,0,0,0
Number_of_whole_fixations.笠,0,0,0
Number_of_whole_fixations.原,1,1,1
Number_of_whole_fixations.高,1,1,1
Number_of_whole_fixations.気,0,0,0
Number_of_whole_fixations.圧,0,0,0
Number_of_whole_fixations.か,1,1,1
Number_of_whole_fixations.ら,0,0,0
Number_of_whole_fixations.暖,0,0,0
Number_of_whole_fixations.か,1,1,1
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.湿,0,0,0
Number_of_whole_fixations.っ,0,0,0
Number_of_whole_fixations.た,1,1,1
Number_of_whole_fixations.空,0,0,0
Number_of_whole_fixations.気,0,0,0
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.日,1,1,1
Number_of_whole_fixations.本,0,0,0
Number_of_whole_fixations.列,0,0,0
Number_of_whole_fixations.島,0,0,0
Number_of_whole_fixations.に,1,1,1
Number_of_whole_fixations.入,0,0,0
Number_of_whole_fixations.り,1,1,1
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.気,0,0,0
Number_of_whole_fixations.圧,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.差,2,2,2
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.小,0,0,0
Number_of_whole_fixations.さ,1,1,1
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.等,0,0,0
Number_of_whole_fixations.圧,2,2,2
Number_of_whole_fixations.線,2,2,2
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.間,1,1,1
Number_of_whole_fixations.隔,1,1,1
Number_of_whole_fixations.が,1,1,1
Number_of_whole_fixations.広,0,0,0
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.た,0,0,0
Number_of_whole_fixations.め,1,1,1
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.風,0,0,0
Number_of_whole_fixations.も,0,0,0
Number_of_whole_fixations.弱,1,1,1
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.の,0,0,0
Number_of_whole_fixations.で,0,0,0
Number_of_whole_fixations.非,0,0,0
Number_of_whole_fixations.常,0,0,0
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.蒸,1,1,1
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.暑,0,0,0
Number_of_whole_fixations.く,1,1,1
Number_of_whole_fixations.な,1,1,1
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.風,0,0,0
Number_of_whole_fixations.が,2,2,2
Number_of_whole_fixations.弱,1,1,1
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.上,2,2,2
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.湿,1,1,1
Number_of_whole_fixations.度,2,2,2
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.高,1,1,1
Number_of_whole_fixations.い,2,2,2
Number_of_whole_fixations.た,0,0,0
Number_of_whole_fixations.め,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.体,1,1,1
Number_of_whole_fixations.感,2,2,2
Number_of_whole_fixations.温,2,2,2
Number_of_whole_fixations.度,2,2,2
Number_of_whole_fixations.は,2,2,2
Number_of_whole_fixations.熱,0,0,0
Number_of_whole_fixations.帯,3,3,3
Number_of_whole_fixations.地,0,0,0
Number_of_whole_fixations.方,2,2,2
Number_of_whole_fixations.を,2,2,2
Number_of_whole_fixations.上,0,0,0
Number_of_whole_fixations.回,2,2,2
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.ほ,1,1,1
Number_of_whole_fixations.ど,0,0,0
Number_of_whole_fixations.で,2,2,2
Number_of_whole_fixations.あ,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.さ,0,0,0
Number_of_whole_fixations.ら,1,1,1
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.、,0,0,0
Number_of_whole_fixations.高,0,0,0
Number_of_whole_fixations.い,1,1,1
Number_of_whole_fixations.湿,1,1,1
Number_of_whole_fixations.度,1,1,1
Number_of_whole_fixations.が,1,1,1
Number_of_whole_fixations.局,0,0,0
Number_of_whole_fixations.地,1,1,1
Number_of_whole_fixations.的,2,2,2
Number_of_whole_fixations.に,0,0,0
Number_of_whole_fixations.積,0,0,0
Number_of_whole_fixations.乱,2,2,2
Number_of_whole_fixations.雲,1,1,1
Number_of_whole_fixations.を,0,0,0
Number_of_whole_fixations.発,0,0,0
Number_of_whole_fixations.生,1,1,1
Number_of_whole_fixations.さ,1,1,1
Number_of_whole_fixations.せ,0,0,0
Number_of_whole_fixations.、,1,1,1
Number_of_whole_fixations.雷,0,0,0
Number_of_whole_fixations.を,2,2,2
Number_of_whole_fixations.伴,0,0,0
Number_of_whole_fixations.い,3,3,3
Number_of_whole_fixations.激,0,0,0
Number_of_whole_fixations.し,0,0,0
Number_of_whole_fixations.く,0,0,0
Number_of_whole_fixations.雨,1,1,1
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.降,0,0,0
Number_of_whole_fixations.る,0,0,0
Number_of_whole_fixations.夕,0,0,0
Number_of_whole_fixations.立,1,1,1
Number_of_whole_fixations.が,0,0,0
Number_of_whole_fixations.起,0,0,0
Number_of_whole_fixations.こ,0,0,0
Number_of_whole_fixations.り,0,0,0
Number_of_whole_fixations.や,1,1,1
Number_of_whole_fixations.す,0,0,0
Number_of_whole_fixations.い,0,0,0
Number_of_whole_fixations.。,0,0,0
Number_of_whole_fixations.夏,0,0,0
Number_of_whole_fixations.の,2,2,2
Number_of_whole_fixations.強,0,0,0
Number_of_whole_fixations.い,1,1,1
